% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
3.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),10,14,4,151 / 788,151,Pain and Glory,Pain and Glory,04/10/2019,04/10/2019,266,0K,21,$4.4 Million,10,11,1,0,,4362136,1,152636,50129,151,4362136,$4.4M,,$0M
2.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),9,37,7,152 / 788,152,Linda Ronstadt: The Sound of My Voice,Linda Ronstadt: The Sound of My Voice,06/09/2019,06/09/2019,247,0K,21,$4.3 Million,9,11,1,0,,4251332,1,113235,57024,152,4251332,$4.3M,,$0M
15.10%,All Others (101 Total),,NADA,NADA,Month,28/03/2019,77,None Listed,-,All Others (101 Total),All Others (101 Total),1,24,101,153 / 788,153,Uri: The Surgical Strike,Uri: The Surgical Strike,10/01/2019,10/01/2019,132,0K,21,$4.2 Million,1,11,1,0,,4186168,1,631146,43059,153,4186168,$4.2M,,$0M
58.70%,All Others (101 Total),,NADA,NADA,Month,20/02/2019,41,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,All Others (101 Total),All Others (101 Total),1,8,"2,329",154 / 788,154,Replicas,Replicas,10/01/2019,10/01/2019,"2,329",0K,21,$4.0 Million,1,11,1,0,,4046429,1,2375325,55662,154,4046429,$4.0M,,$0M
18.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),12,20,70,155 / 788,155,Ip Man 4: The Finale,Ip Man 4: The Finale,25/12/2019,25/12/2019,125,0K,21,$3.9 Million,12,11,1,0,,3899111,1,737718,20983,155,3899111,$3.9M,,$0M
27.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),8,6,66,156 / 788,156,Ne Zha,Ne Zha,29/08/2019,29/08/2019,135,0K,21,$3.7 Million,8,11,1,0,,3695533,1,1015755,45449,156,3695533,$3.7M,,$0M
37.30%,All Others (101 Total),,NADA,NADA,Month,26/09/2019,42,FIP,FIP,All Others (101 Total),All Others (101 Total),8,14,263,157 / 788,157,Mission Mangal,Mission Mangal,15/08/2019,15/08/2019,263,0K,21,$3.7 Million,8,11,1,0,,3659413,1,1365006,32989,157,3659413,$3.7M,,$0M
26.60%,All Others (101 Total),,NADA,NADA,Month,28/03/2019,49,Shorts International,Shorts International,All Others (101 Total),All Others (101 Total),2,49,270,158 / 788,158,The Oscar Nominated Short Films 2019: Documentary,The Oscar Nominated Short Films 2019: Documentary,07/02/2019,07/02/2019,415,0K,21,$3.5 Million,2,11,1,0,,3531094,1,938455,58820,158,3531094,$3.5M,,$0M
81.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,38,997,159 / 788,159,BTS World Tour: Love Yourself in Seoul,BTS World Tour: Love Yourself in Seoul,25/01/2019,25/01/2019,997,0K,21,$3.5 Million,1,11,1,0,,3509917,1,2860016,22810,159,3509917,$3.5M,,$0M
50.30%,All Others (101 Total),,NADA,NADA,Month,09/05/2019,41,Neon,Neon,All Others (101 Total),All Others (101 Total),3,13,"1,100",160 / 788,160,The Beach Bum,The Beach Bum,29/03/2019,29/03/2019,"1,100",0K,21,$3.5 Million,3,11,1,0,,3502600,1,1763070,76046,160,3502600,$3.5M,,$0M
2.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Saban Films,Saban Films,All Others (101 Total),All Others (101 Total),10,25,1,161 / 788,161,Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,15/10/2019,15/10/2019,788,0K,21,$3.4 Million,10,11,1,0,,3412360,1,93520,77507,161,3412360,$3.4M,,$0M
3.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),5,18,2,162 / 788,162,Echo in the Canyon,Echo in the Canyon,24/05/2019,24/05/2019,147,0K,21,$3.4 Million,5,11,1,0,,3355324,1,117651,80901,162,3355324,$3.4M,,$0M
1.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),6,6,6,163 / 788,163,Maiden,Maiden,28/06/2019,28/06/2019,180,0K,21,$3.2 Million,6,11,1,0,,3168978,1,46931,8729,163,3168978,$3.2M,,$0M
10%,All Others (101 Total),,NADA,NADA,Month,,NA,Amazon Studios,Amazon Studios,All Others (101 Total),All Others (101 Total),11,9,4,164 / 788,164,Honey Boy,Honey Boy,08/11/2019,08/11/2019,460,0K,21,$3.0 Million,11,11,1,-306496,$4M,3012615,1,301065,39397,164,3012615,$3.0M,3193504,$0M
42.10%,All Others (101 Total),,NADA,NADA,Month,04/07/2019,29,None Listed,-,All Others (101 Total),All Others (101 Total),6,6,311,165 / 788,165,Bharat,Bharat,05/06/2019,05/06/2019,311,0K,21,$3.0 Million,6,11,1,0,,2971549,1,1252301,84251,165,2971549,$3.0M,,$0M
40.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),9,42,"1,586",166 / 788,166,Friends 25th: The One With The Anniversary,Friends 25th: The One With The Anniversary,23/09/2019,23/09/2019,"1,586",0K,21,$2.9 Million,9,11,1,0,,2884827,1,1177873,41792,166,2884827,$2.9M,,$0M
50.60%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),8,5,381,167 / 788,167,Saaho,Saaho,29/08/2019,29/08/2019,381,0K,21,$2.9 Million,8,11,1,0,,2872057,1,1452102,11597,167,2872057,$2.9M,,$0M
46.80%,All Others (101 Total),,NADA,NADA,Month,09/05/2019,22,FIP,FIP,All Others (101 Total),All Others (101 Total),4,6,320,168 / 788,168,Kalank,Kalank,17/04/2019,17/04/2019,320,0K,21,$2.7 Million,4,11,1,0,,2729336,1,1276581,96699,168,2729336,$2.7M,,$0M
41.10%,All Others (101 Total),,NADA,NADA,Month,03/10/2019,34,Pantelion Films,Pantelion Films,All Others (101 Total),All Others (101 Total),8,10,371,169 / 788,169,Tod@s Caen,Tod@s Caen,30/08/2019,30/08/2019,371,0K,21,$2.7 Million,8,11,1,0,,2670925,1,1098401,34390,169,2670925,$2.7M,,$0M
2.70%,Focus Features,,NADA,NADA,Month,04/04/2019,56,Focus Features,Focus Features,Focus Features,Focus Features,2,15,4,170 / 788,170,Everybody Knows,Everybody Knows,07/02/2019,07/02/2019,283,0K,21,$2.7 Million,2,11,1,0,,2660165,1,71207,53464,170,2660165,$2.7M,,$0M
4.70%,All Others (101 Total),,NADA,NADA,Month,08/08/2019,27,Bleecker Street Media,Bleecker Street Media,All Others (101 Total),All Others (101 Total),7,23,7,171 / 788,171,The Art of Self-Defense,The Art of Self-Defense,12/07/2019,12/07/2019,550,0K,21,$2.4 Million,7,11,1,0,,2410914,1,114374,93472,171,2410914,$2.4M,,$0M
2.10%,All Others (101 Total),,NADA,NADA,Month,09/05/2019,98,Bleecker Street Media,Bleecker Street Media,All Others (101 Total),All Others (101 Total),1,6,4,172 / 788,172,Arctic,Arctic,31/01/2019,31/01/2019,268,0K,21,$2.4 Million,1,11,1,0,,2410795,1,50878,58337,172,2410795,$2.4M,,$0M
37.20%,All Others (101 Total),,NADA,NADA,Month,07/11/2019,37,CMC Pictures,CMC Pictures,All Others (101 Total),All Others (101 Total),10,21,67,173 / 788,173,"My People, My Country","My People, My Country",01/10/2019,01/10/2019,83,0K,21,$2.4 Million,10,11,1,0,,2356683,1,876001,15329,173,2356683,$2.4M,,$0M
4.80%,All Others (101 Total),,NADA,NADA,Month,,NA,GKIDS,GKIDS,All Others (101 Total),All Others (101 Total),9,7,54,174 / 788,174,Promare,Promare,17/09/2019,17/09/2019,701,0K,21,$2.3 Million,9,11,1,0,,2287981,1,109085,51692,174,2287981,$2.3M,,$0M
38.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Reliance Big Pictures,Reliance Big Pictures,All Others (101 Total),All Others (101 Total),7,8,317,175 / 788,175,Super 30,Super 30,12/07/2019,12/07/2019,317,0K,21,$2.3 Million,7,11,1,0,,2269878,1,871256,23521,175,2269878,$2.3M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),10,24,-,176 / 788,176,Faustina: Love and Mercy,Faustina: Love and Mercy,28/10/2019,28/10/2019,810,0K,21,$2.2 Million,10,11,1,0,,2243180,1,0,32818,176,2243180,$2.2M,,$0M
50.10%,All Others (101 Total),,NADA,NADA,Month,21/03/2019,22,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),2,18,717,177 / 788,177,Gone with the Wind,Gone with the Wind,27/02/2019,27/02/2019,717,0K,21,$2.2 Million,2,11,1,0,,2176120,1,1089932,81804,177,2176120,$2.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Saban Films,Saban Films,All Others (101 Total),All Others (101 Total),9,11,-,178 / 788,178,3 from Hell,3 from Hell,16/09/2019,16/09/2019,667,0K,21,$2.2 Million,9,11,1,0,,2172949,1,0,96096,178,2172949,$2.2M,,$0M
45.60%,All Others (101 Total),,NADA,NADA,Month,21/03/2019,28,FIP,FIP,All Others (101 Total),All Others (101 Total),2,13,202,179 / 788,179,Total Dhamaal,Total Dhamaal,21/02/2019,21/02/2019,209,0K,21,$2.2 Million,2,11,1,0,,2167632,1,989387,20824,179,2167632,$2.2M,,$0M
42.90%,All Others (101 Total),,NADA,NADA,Month,21/11/2019,27,FIP,FIP,All Others (101 Total),All Others (101 Total),10,11,315,180 / 788,180,Housefull 4,Housefull 4,25/10/2019,25/10/2019,315,0K,21,$2.1 Million,10,11,1,0,,2109160,1,904808,20191,180,2109160,$2.1M,,$0M
57.60%,All Others (101 Total),,NADA,NADA,Month,06/02/2019,11,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,16,681,181 / 788,181,The Wizard of Oz,The Wizard of Oz,26/01/2019,26/01/2019,681,0K,21,$2.1 Million,1,11,1,0,,2076020,1,1195606,18141,181,2076020,$2.1M,,$0M
6.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Neon,Neon,All Others (101 Total),All Others (101 Total),8,4,5,182 / 788,182,Luce,Luce,02/08/2019,02/08/2019,235,0K,21,$2.0 Million,8,11,1,0,,2010613,1,132987,69946,182,2010613,$2.0M,,$0M
30.60%,All Others (101 Total),,NADA,NADA,Month,10/10/2019,34,FIP,FIP,All Others (101 Total),All Others (101 Total),9,10,195,183 / 788,183,Chhichhore,Chhichhore,06/09/2019,06/09/2019,195,0K,21,$2.0 Million,9,11,1,0,,2004400,1,614335,20652,183,2004400,$2.0M,,$0M
3.30%,All Others (101 Total),,NADA,NADA,Month,,NA,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),8,16,4,184 / 788,184,Official Secrets,Official Secrets,30/08/2019,30/08/2019,485,0K,21,$2.0 Million,8,11,1,0,,1988546,1,64965,99621,184,1988546,$2.0M,,$0M
51.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),11,11,70,185 / 788,185,Better Days,Better Days,08/11/2019,08/11/2019,88,0K,21,$1.9 Million,11,11,1,0,,1921657,1,989536,98063,185,1921657,$1.9M,,$0M
32%,All Others (101 Total),,NADA,NADA,Month,31/03/2019,23,Reliance Big Pictures,Reliance Big Pictures,All Others (101 Total),All Others (101 Total),3,5,50,186 / 788,186,Badla,Badla,08/03/2019,08/03/2019,115,0K,21,$1.9 Million,3,11,1,0,,1861000,1,596446,23715,186,1861000,$1.9M,,$0M
4.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),4,14,5,187 / 788,187,The White Crow,The White Crow,26/04/2019,26/04/2019,365,0K,21,$1.8 Million,4,11,1,0,,1828784,1,78782,38857,187,1828784,$1.8M,,$0M
25.10%,All Others (101 Total),,NADA,NADA,Month,,NA,ArtAffects Entertainment,ArtAffects Entertainment,All Others (101 Total),All Others (101 Total),6,41,205,188 / 788,188,The Other Side of Heaven 2: Fire of Faith,The Other Side of Heaven 2: Fire of Faith,28/06/2019,28/06/2019,205,0K,21,$1.8 Million,6,11,1,0,,1807216,1,454257,68991,188,1807216,$1.8M,,$0M
2.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Fox Searchlight Pictures,Fox Searchlight Pictures,All Others (101 Total),All Others (101 Total),12,13,5,189 / 788,189,A Hidden Life,A Hidden Life,13/12/2019,13/12/2019,151,0K,21,$1.7 Million,12,11,1,0,,1711572,1,50383,45553,189,1711572,$1.7M,,$0M
0.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Area 23a,Area 23a,All Others (101 Total),All Others (101 Total),9,15,1,190 / 788,190,Fantastic Fungi,Fantastic Fungi,20/09/2019,20/09/2019,37,0K,21,$1.7 Million,9,11,1,0,,1661102,1,9419,59833,190,1661102,$1.7M,,$0M
8.10%,A24,,NADA,NADA,Month,,NA,A24,A24,A24,A24,11,5,4,191 / 788,191,Waves,Waves,15/11/2019,15/11/2019,570,0K,21,$1.7 Million,11,11,1,0,,1658790,1,134333,80248,191,1658790,$1.7M,,$0M
3.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Neon,Neon,All Others (101 Total),All Others (101 Total),6,9,4,192 / 788,192,Wild Rose,Wild Rose,21/06/2019,21/06/2019,195,0K,21,$1.6 Million,6,11,1,0,,1635117,1,52938,2347,192,1635117,$1.6M,,$0M
3.50%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,48,Fox Searchlight Pictures,Fox Searchlight Pictures,All Others (101 Total),All Others (101 Total),3,13,5,193 / 788,193,The Aftermath,The Aftermath,15/03/2019,15/03/2019,344,0K,21,$1.6 Million,3,11,1,0,,1618497,1,56419,57923,193,1618497,$1.6M,,$0M
35.40%,Warner Bros.,,NADA,NADA,Month,12/12/2019,48,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,10,13,345,194 / 788,194,Western Stars,Western Stars,25/10/2019,25/10/2019,553,0K,21,$1.6 Million,10,11,1,0,,1581681,1,560282,19452,194,1581681,$1.6M,,$0M
2.50%,All Others (101 Total),,NADA,NADA,Month,04/07/2019,76,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),4,8,4,195 / 788,195,Red Joan,Red Joan,19/04/2019,19/04/2019,195,0K,21,$1.6 Million,4,11,1,0,,1579730,1,38949,20344,195,1579730,$1.6M,,$0M
3.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),8,17,5,196 / 788,196,After the Wedding,After the Wedding,09/08/2019,09/08/2019,428,0K,21,$1.6 Million,8,11,1,0,,1574258,1,50264,18951,196,1574258,$1.6M,,$0M
2.70%,All Others (101 Total),,NADA,NADA,Month,04/04/2019,70,CJ Entertainment,CJ Entertainment,All Others (101 Total),All Others (101 Total),1,11,2,197 / 788,197,Extreme Job,Extreme Job,24/01/2019,24/01/2019,26,0K,21,$1.6 Million,1,11,1,0,,1565885,1,42587,89403,197,1565885,$1.6M,,$0M
34.10%,Lionsgate,,NADA,NADA,Month,18/04/2019,41,Lionsgate,Lionsgate,Lionsgate,Lionsgate,3,7,268,198 / 788,198,The Kid,The Kid,08/03/2019,08/03/2019,268,0K,21,$1.5 Million,3,11,1,0,,1508593,1,514286,11525,198,1508593,$1.5M,,$0M
50%,All Others (101 Total),,NADA,NADA,Month,23/05/2019,20,None Listed,-,All Others (101 Total),All Others (101 Total),5,10,605,199 / 788,199,El Chicano,El Chicano,03/05/2019,03/05/2019,605,0K,21,$1.4 Million,5,11,1,-7299739,$8M,1400603,1,700261,89008,199,1400603,$1.4M,700261,($7M)
-,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,11,37,-,200 / 788,200,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,01/11/2019,01/11/2019,-,0K,21,$1.4 Million,11,11,1,0,,1385620,1,0,38471,200,1385620,$1.4M,,$0M
-,Warner Bros.,,NADA,NADA,Month,,NA,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,8,2,-,201 / 788,201,It,It,03/08/2019,03/08/2019,-,0K,21,$1.3 Million,8,11,1,0,,1347126,1,0,68929,201,1347126,$1.3M,,$0M
42.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),10,13,765,202 / 788,202,Spirited Away,Spirited Away,27/10/2019,27/10/2019,768,0K,21,$1.3 Million,10,11,1,0,,1322927,1,561821,56450,202,1322927,$1.3M,,$0M
27.50%,All Others (101 Total),,NADA,NADA,Month,08/11/2019,15,FUNimation Entertainment,FUNimation Entertainment,All Others (101 Total),All Others (101 Total),10,19,541,203 / 788,203,One Piece: Stampede,One Piece: Stampede,24/10/2019,24/10/2019,541,0K,21,$1.3 Million,10,11,1,0,,1298528,1,357740,27244,203,1298528,$1.3M,,$0M
52.40%,All Others (101 Total),,NADA,NADA,Month,20/04/2019,2,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),4,18,706,204 / 788,204,Pilgrim's Progress,Pilgrim's Progress,18/04/2019,18/04/2019,758,0K,21,$1.3 Million,4,11,1,0,,1294596,1,678647,18716,204,1294596,$1.3M,,$0M
3.50%,All Others (101 Total),,NADA,NADA,Month,10/11/2019,16,Atlas Distribution Company,Atlas Distribution Company,All Others (101 Total),All Others (101 Total),10,14,1,205 / 788,205,No Safe Spaces,No Safe Spaces,25/10/2019,25/10/2019,200,0K,21,$1.3 Million,10,11,1,0,,1291514,1,45236,60740,205,1291514,$1.3M,,$0M
15.20%,All Others (101 Total),,NADA,NADA,Month,12/05/2019,87,Entertainment One,Entertainment One,All Others (101 Total),All Others (101 Total),2,39,51,206 / 788,206,Asterix: The Secret of the Magic Potion,Asterix: The Secret of the Magic Potion,14/02/2019,14/02/2019,76,0K,21,$1.3 Million,2,11,1,0,,1271953,1,193040,90281,206,1271953,$1.3M,,$0M
11.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),10,41,157,207 / 788,207,Metallica & San Francisco Symphony - S&M2,Metallica & San Francisco Symphony - S&M2,09/10/2019,09/10/2019,655,0K,21,$1.3 Million,10,11,1,0,,1252385,1,144736,45852,207,1252385,$1.3M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),10,77,490,208 / 788,208,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,27/10/2019,27/10/2019,490,0K,21,$1.2 Million,10,11,1,0,,1226552,1,1226552,45108,208,1226552,$1.2M,,$0M
8.10%,A24,,NADA,NADA,Month,30/05/2019,55,A24,A24,A24,A24,4,9,4,209 / 788,209,High Life,High Life,05/04/2019,05/04/2019,146,0K,21,$1.2 Million,4,11,1,0,,1225852,1,99341,91998,209,1225852,$1.2M,,$0M
3.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),5,11,4,210 / 788,210,All Is True,All Is True,10/05/2019,10/05/2019,328,0K,21,$1.2 Million,5,11,1,0,,1200481,1,44211,59036,210,1200481,$1.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),4,18,-,211 / 788,211,Kingdom Men Rising,Kingdom Men Rising,29/04/2019,29/04/2019,705,0K,21,$1.2 Million,4,11,1,0,,1188936,1,0,43275,211,1188936,$1.2M,,$0M
28.80%,All Others (101 Total),,NADA,NADA,Month,21/04/2019,38,Spanglish Movies,Spanglish Movies,All Others (101 Total),All Others (101 Total),3,19,53,212 / 788,212,Los Domirriqueños 2,Los Domirriqueños 2,14/03/2019,14/03/2019,82,0K,21,$1.2 Million,3,11,1,0,,1187280,1,341847,87213,212,1187280,$1.2M,,$0M
51.30%,All Others (101 Total),,NADA,NADA,Month,20/02/2019,20,FIP,FIP,All Others (101 Total),All Others (101 Total),1,31,193,213 / 788,213,Ek Ladki Ko Dekha Toh Aisa Laga,Ek Ladki Ko Dekha Toh Aisa Laga,31/01/2019,31/01/2019,193,0K,21,$1.2 Million,1,11,1,0,,1182636,1,606775,74304,213,1182636,$1.2M,,$0M
52.80%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),9,17,97,214 / 788,214,Nothing to Lose 2,Nothing to Lose 2,27/09/2019,27/09/2019,105,0K,21,$1.2 Million,9,11,1,0,,1150551,1,606934,41664,214,1150551,$1.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,70,-,215 / 788,215,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,12/11/2019,12/11/2019,692,0K,21,$1.1 Million,11,11,1,0,,1134786,1,0,2095,215,1134786,$1.1M,,$0M
58.90%,STX Entertainment,,NADA,NADA,Month,08/01/2019,-332,STX Entertainment,STX Entertainment,STX Entertainment,STX Entertainment,12,20,"2,337",216 / 788,216,Playmobil: The Movie,Playmobil: The Movie,06/12/2019,06/12/2019,"2,337",0K,21,$1.1 Million,12,11,1,-59214773,$75M,1115008,1,656530,65899,216,1115008,$1.1M,15785227,($59M)
43.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),8,18,767,217 / 788,217,My Neighbor Totoro,My Neighbor Totoro,25/08/2019,25/08/2019,767,0K,21,$1.1 Million,8,11,1,0,,1105564,1,484254,79708,217,1105564,$1.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),10,9,-,218 / 788,218,El Coyote,El Coyote,04/10/2019,04/10/2019,297,0K,21,$1.1 Million,10,11,1,0,,1101470,1,0,29956,218,1101470,$1.1M,,$0M
40.80%,All Others (101 Total),,NADA,NADA,Month,26/09/2019,27,None Listed,-,All Others (101 Total),All Others (101 Total),8,13,970,219 / 788,219,Bennett's War,Bennett's War,30/08/2019,30/08/2019,970,0K,21,$1.1 Million,8,11,1,0,,1056416,1,430898,22634,219,1056416,$1.1M,,$0M
39.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,17,752,220 / 788,220,Princess Mononoke,Princess Mononoke,17/11/2019,17/11/2019,752,0K,21,$1.0 Million,11,11,1,0,,1046446,1,417311,82889,220,1046446,$1.0M,,$0M
46.50%,All Others (101 Total),,NADA,NADA,Month,04/04/2019,34,None Listed,-,All Others (101 Total),All Others (101 Total),3,11,139,221 / 788,221,Luka Chuppi,Luka Chuppi,01/03/2019,01/03/2019,139,0K,21,$1.0 Million,3,11,1,0,,1042905,1,485342,3867,221,1042905,$1.0M,,$0M
7.60%,A24,,NADA,NADA,Month,18/07/2019,62,A24,A24,A24,A24,5,12,4,222 / 788,222,The Souvenir,The Souvenir,17/05/2019,17/05/2019,145,0K,21,$1.0 Million,5,11,1,0,,1036737,1,78400,19089,222,1036737,$1.0M,,$0M
37.90%,All Others (101 Total),,NADA,NADA,Month,13/04/2019,4,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),4,17,602,223 / 788,223,Noah: The Musical,Noah: The Musical,09/04/2019,09/04/2019,669,0K,21,$1.0 Million,4,11,1,0,,1035603,1,392734,34886,223,1035603,$1.0M,,$0M
22.50%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),12,15,57,224 / 788,224,Merci pour tout,Merci pour tout,25/12/2019,25/12/2019,76,0K,21,$1.0 Million,12,11,1,0,,1032967,1,231908,6507,224,1032967,$1.0M,,$0M
41.70%,All Others (101 Total),,NADA,NADA,Month,13/02/2019,34,Pantelion Films,Pantelion Films,All Others (101 Total),All Others (101 Total),1,17,132,225 / 788,225,Perfect Strangers,Perfect Strangers,10/01/2019,10/01/2019,132,0K,21,$1.0 Million,1,11,1,0,,1014507,1,422656,68182,225,1014507,$1.0M,,$0M
4.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),7,33,4,226 / 788,226,Marianne & Leonard: Words of Love,Marianne & Leonard: Words of Love,05/07/2019,05/07/2019,101,0K,21,$1.0 Million,7,11,1,0,,1012034,1,44942,73511,226,1012034,$1.0M,,$0M
35.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,23,753,227 / 788,227,Kiki's Delivery Service,Kiki's Delivery Service,28/07/2019,28/07/2019,753,0K,21,$1.0 Million,7,11,1,0,,1004057,1,352556,54425,227,1004057,$1.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,IMAX,IMAX,All Others (101 Total),All Others (101 Total),10,13,372,228 / 788,228,Jesus Is King,Jesus Is King,25/10/2019,25/10/2019,372,0K,21,$1.0 Million,10,11,1,0,,973000,1,830000,29985,228,973000,$1.0M,,$0M
0.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),8,28,1,229 / 788,229,Rush: Cinema Strangiato 2019,Rush: Cinema Strangiato 2019,21/08/2019,21/08/2019,494,0K,21,$1.0 Million,8,11,1,0,,960073,1,2580,79828,229,960073,$1.0M,,$0M
6.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Purdie Distribution,Purdie Distribution,All Others (101 Total),All Others (101 Total),7,21,28,230 / 788,230,The Fighting Preacher,The Fighting Preacher,24/07/2019,24/07/2019,37,0K,21,$1.0 Million,7,11,1,0,,954641,1,60223,59774,230,954641,$1.0M,,$0M
5.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),6,30,4,231 / 788,231,Toni Morrison: The Pieces I Am,Toni Morrison: The Pieces I Am,21/06/2019,21/06/2019,78,0K,21,$0.9 Million,6,11,1,0,,903018,1,48050,70499,231,903018,$0.9M,,$0M
42.90%,All Others (101 Total),,NADA,NADA,Month,29/06/2019,4,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),6,24,455,232 / 788,232,Kinky Boots: The Musical,Kinky Boots: The Musical,25/06/2019,25/06/2019,492,0K,21,$0.9 Million,6,11,1,0,,900451,1,386612,30334,232,900451,$0.9M,,$0M
